File_Path,Issue_Name,Line,Severity,Rule,Type
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/secure/impl/SecureMessageServiceClientHelper.java,Use a logger to log this exception.,112,CRITICAL,Throwable.printStackTrace(...) should not be called,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/secure/impl/SecureMessageServiceClientHelper.java,Catch Exception instead of Throwable.,110,BLOCKER,Throwable and Error should not be caught,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/secure/impl/SecureMessageServiceClientHelper.java,Catch Exception instead of Throwable.,93,BLOCKER,Throwable and Error should not be caught,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/secure/impl/SecureMessageServiceClientHelper.java,Catch Exception instead of Throwable.,142,BLOCKER,Throwable and Error should not be caught,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/secure/impl/SecureMessageServiceClientHelper.java,Catch Exception instead of Throwable.,170,BLOCKER,Throwable and Error should not be caught,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/secure/impl/SecureMessageServiceClientHelper.java,类名【SecureMessageServiceClientHelper】应以Impl结尾,48,CRITICAL,[p3c]Constant variable names should be written in upper characters separated by underscores.,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/impl/AEClientService.java,类名【AEClientService】应以Impl结尾,44,CRITICAL,[p3c]Constant variable names should be written in upper characters separated by underscores.,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/impl/AEClientService.java,【_msg_type_id】命名不能以_或$开始,63,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/impl/AEClientService.java,【_msg_type_id】命名不能以_或$开始,68,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_manager】命名不能以_或$开始,97,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_content_network】命名不能以_或$开始,98,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_version】命名不能以_或$开始,99,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_name】命名不能以_或$开始,100,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_pprop_defaults】命名不能以_或$开始,101,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_service_exclusions】命名不能以_或$开始,102,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_site_host】命名不能以_或$开始,103,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_url_prefix】命名不能以_或$开始,104,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_url_icon】命名不能以_或$开始,105,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkVuzeGeneric.java,【_url_relay_rpc】命名不能以_或$开始,106,CRITICAL,[p3c]All names should not start or end with an underline or a dollar sign.,
