File_Path,Issue_Name,Line,Severity,Rule,Type
freecs-1.3.20100406/src/freecs/commands/CmdClear.java,常量【selve】命名应全部大写并以下划线分隔,33,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
freecs-1.3.20100406/src/freecs/commands/CmdAccept.java,常量【selve】命名应全部大写并以下划线分隔,35,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
freecs-1.3.20100406/src/freecs/commands/CmdAccept.java,if语句缺少大括号,59,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdAccept.java,if语句缺少大括号,62,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdIgnore.java,常量【selve】命名应全部大写并以下划线分隔,39,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
freecs-1.3.20100406/src/freecs/commands/CmdIgnore.java,if语句缺少大括号,71,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdIgnore.java,if语句缺少大括号,86,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/auth/XmlRpcAuthenticator.java,if语句缺少大括号,134,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/auth/XmlRpcAuthenticator.java,if语句缺少大括号,211,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/auth/XmlRpcAuthenticator.java,if语句缺少大括号,218,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdResetQuestioncounter.java,常量【selve】命名应全部大写并以下划线分隔,35,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
freecs-1.3.20100406/src/freecs/commands/CmdResetQuestioncounter.java,if语句缺少大括号,59,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/core/RequestMonitor.java,"Make this ""public static instance"" field final",34,严重,"""public static"" fields should be constant",vulnerability
freecs-1.3.20100406/src/freecs/core/RequestMonitor.java,if语句缺少大括号,41,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/core/RequestMonitor.java,if语句缺少大括号,43,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/core/RequestMonitor.java,if语句缺少大括号,79,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/core/RequestMonitor.java,if语句缺少大括号,84,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdUnBan.java,常量【selve】命名应全部大写并以下划线分隔,40,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
freecs-1.3.20100406/src/freecs/commands/CmdUnBan.java,if语句缺少大括号,64,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdUnBan.java,else语句缺少大括号,84,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdUnBan.java,if语句缺少大括号,99,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdUnBan.java,else语句缺少大括号,102,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
freecs-1.3.20100406/src/freecs/commands/CmdUnBan.java,if语句缺少大括号,124,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
